price,address,beds,baths,sqft
"$2,150,000","1909 Sharp Pl, Houston, TX 77019",4 Beds,5 Baths,"4,462 Sq. Ft."
"$2,150,000","2325 Welch #405, Houston, TX 77019",3 Beds,3.5 Baths,"3,237 Sq. Ft."
"$2,150,000","2240 Mimosa Dr Unit 4W, Houston, TX 77019",3 Beds,3 Baths,"2,464 Sq. Ft."
"$2,195,000","16 Tiel Way, Houston, TX 77019",4 Beds,3.5 Baths,"4,492 Sq. Ft."
"$2,200,000","2409 Ella Lee Ln, Houston, TX 77019",4 Beds,3.5 Baths,"4,152 Sq. Ft."
"$2,350,000","2406 Westgate Dr, Houston, TX 77019",4 Beds,3.5 Baths,"5,031 Sq. Ft."
"$2,400,000","2210 Westgate Dr, Houston, TX 77019",3 Beds,3.5 Baths,"4,633 Sq. Ft."
"$2,495,000","1929 Sharp Pl, Houston, TX 77019",3 Beds,4.5 Baths,"4,994 Sq. Ft."
"$2,495,000","2121 Kirby Dr Unit 21S, Houston, TX 77019",1 Bed,1.5 Baths,"4,167 Sq. Ft."
"$2,499,999","3860 Olympia Dr, Houston, TX 77019",4 Beds,3.5 Baths,"3,876 Sq. Ft."
"$2,599,000","63 Tiel Way, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
"$2,600,000","929 Kirby Dr, Houston, TX 77019",4 Beds,5 Baths,"5,002 Sq. Ft."
"$2,675,000","2410 Kingston St, Houston, TX 77019",4 Beds,4.5 Baths,"5,549 Sq. Ft."
"$2,745,000","2325 Welch #601, Houston, TX 77019",3 Beds,3.5 Baths,"3,269 Sq. Ft."
"$2,750,000","2154 Inwood Dr, Houston, TX 77019",4 Beds,5.5 Baths,"4,596 Sq. Ft."
"$2,750,000","2302 Locke Ln, Houston, TX 77019",4 Beds,5.5 Baths,"6,090 Sq. Ft."
"$2,825,000","3208 Locke Ln, Houston, TX 77019",4 Beds,5.5 Baths,"4,238 Sq. Ft."
"$2,850,000","2223 Del Monte Dr, Houston, TX 77019",4 Beds,4.5 Baths,"5,787 Sq. Ft."
"$2,889,000","2009 Chilton Rd, Houston, TX 77019",4 Beds,4.5 Baths,"5,219 Sq. Ft."
"$2,890,000","2240 Mimosa Dr Unit 5E, Houston, TX 77019",3 Beds,3.5 Baths,"3,218 Sq. Ft."
"$2,895,000","3238 Ella Lee Ln, Houston, TX 77019",4 Beds,5 Baths,"5,497 Sq. Ft."
"$3,195,000","2146 Pelham Dr, Houston, TX 77019",4 Beds,7 Baths,"5,719 Sq. Ft."
"$3,200,000","2525 Eastside St, Houston, TX 77019",5 Beds,7 Baths,"7,498 Sq. Ft."
"$3,385,000","2207 Stanmore Dr, Houston, TX 77019",4 Beds,4.5 Baths,"4,042 Sq. Ft."
"$3,600,000","2102 Chilton Rd, Houston, TX 77019",6 Beds,6 Baths,"6,779 Sq. Ft."
"$3,750,000","67 Tiel Way, Houston, TX 77019",4 Beds,5 Baths,"5,018 Sq. Ft."
"$3,990,000","2521 Westgate Dr, Houston, TX 77019",5 Beds,5.5 Baths,"6,312 Sq. Ft."
"$4,315,000","2240 Mimosa Dr Ph -7W, Houston, TX 77019",3 Beds,4 Baths,"4,346 Sq. Ft."
"$4,395,000","1839 Kirby Dr, Houston, TX 77019",5 Beds,7 Baths,"6,871 Sq. Ft."
"$4,750,000","2121 Kirby Dr Unit 27N, Houston, TX 77019",3 Beds,4 Baths,"5,465 Sq. Ft."
"$4,750,000","2121 Kirby Dr Unit 19W, Houston, TX 77019",3 Beds,5 Baths,"6,895 Sq. Ft."
"$4,795,000","2240 Mimosa Dr Ph -8E, Houston, TX 77019",3 Beds,3.5 Baths,"3,500 Sq. Ft."
"$4,950,000","2240 Mimosa Dr Ph -8W, Houston, TX 77019",3 Beds,3.5 Baths,"3,987 Sq. Ft."
"$5,395,000","3257 Huntingdon Pl, Houston, TX 77019",5 Beds,8 Baths,"8,371 Sq. Ft."
"$5,495,000","2209 Looscan Ln, Houston, TX 77019",4 Beds,6 Baths,"7,608 Sq. Ft."
"$5,550,000","2116 Looscan Ln, Houston, TX 77019",5 Beds,6 Baths,"7,115 Sq. Ft."
"$5,799,900","3842 Chevy Chase Dr, Houston, TX 77019",5 Beds,6.5 Baths,"8,624 Sq. Ft."
"$5,995,000","2158 Brentwood Dr, Houston, TX 77019",5 Beds,6 Baths,"7,185 Sq. Ft."
"$5,995,000","2121 Kirby Dr Unit 32S, Houston, TX 77019",2 Beds,4 Baths,"6,224 Sq. Ft."
"$6,100,000","1001 Kirby Dr, Houston, TX 77019",4 Beds,4.5 Baths,"6,964 Sq. Ft."
"$7,750,000","2406 River Oaks Blvd, Houston, TX 77019",5 Beds,5 Baths,"7,231 Sq. Ft."
"$7,775,000","1039 Kirby Dr, Houston, TX 77019",5 Beds,6 Baths,"8,453 Sq. Ft."
"$8,900,000","5 Briarwood Ct, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
"$12,000,000","3315 Del Monte Dr, Houston, TX 77019",5 Beds,8.5 Baths,"12,519 Sq. Ft."
"$12,900,000","3482 Inwood Dr, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
"$34,500,000","2920 Lazy Lane Blvd, Houston, TX 77019",5 Beds,9.5 Baths,"17,405 Sq. Ft."
